Label	logFC	FDR
DPF3	-1.1644666	3.92E-02
CLP1	-1.3973586	3.93E-02
IFNL2	-1.9662234	3.93E-02
MORF4L1	0.5903779	3.93E-02
DANCR	-0.6804619	3.93E-02
B3GALT6	0.7650362	3.94E-02
GLMP	0.5840791	3.94E-02
TRIM59///IFT80	0.7788665	3.94E-02
IGHV3-23///IGHV4-31///IGHM///IGHG1///IGHA1	-2.2587086	3.94E-02
VSTM4	1.4178066	3.94E-02
CXCL17	-4.5767858	3.94E-02
TREM2	1.7313892	3.94E-02
LOC101929219///C1orf186	-1.2192579	3.94E-02
MATN3	1.1136071	3.94E-02
LOC100287413///GLYATL1	-0.7201417	3.94E-02
BICDL2	-0.8673339	3.94E-02
SPDEF	-0.7992598	3.94E-02
ASB16-AS1	-0.6494981	3.94E-02
STRIP2	1.0687026	3.94E-02
SLAMF8	0.9252462	3.94E-02
PSMB3	0.6601637	3.94E-02
TBC1D22A	-0.5124864	3.95E-02
FAM20B	0.4936187	3.96E-02
EVI5	-0.5534691	3.96E-02
TMIE	-2.2054527	3.96E-02
MAP2K7	-0.6796194	3.96E-02
FANCB	1.5527922	3.96E-02
GTPBP2	-1.5975226	3.96E-02
OR7E104P	-0.7307084	3.96E-02
ANAPC15	-0.4919267	3.96E-02
ERBIN	-0.5476033	3.96E-02
SEPT11	1.0463516	3.96E-02
GAS2L1	-0.7906938	3.96E-02
SMYD3	0.6336172	3.96E-02
AKR1C3	-1.435072	3.97E-02
GCNT4	-2.0625833	3.97E-02
HOTS	2.2003804	3.97E-02
HNRNPA3///HNRNPA3P1	0.6868603	3.98E-02
MORC2	0.7591548	3.98E-02
LOC101928069	-0.6669532	3.98E-02
PPP1R2	0.6500081	3.98E-02
PFDN4	0.9792491	3.99E-02
ZC3H12B	-1.8377064	3.99E-02
CEMIP	3.3508089	3.99E-02
C8orf34	-2.579841	3.99E-02
SP3	0.4890122	4.00E-02
LOC102724093///GOLGA6L4///GOLGA6L9///GOLGA6L5P	-0.5494909	4.00E-02
FBXL13	-2.3781279	4.00E-02
G6PC	-2.2448428	4.00E-02
NDUFB11	-0.4638119	4.00E-02
SIRT4	-1.2998641	4.01E-02
RFK	-0.611896	4.01E-02
ATP7A	-0.5848047	4.01E-02
TTC6	-1.8509136	4.01E-02
PLEKHA4	1.5773809	4.01E-02
LRRC28	-0.5249697	4.01E-02
HERPUD1	-1.5285605	4.01E-02
SLC35G1	-0.6520662	4.01E-02
MRAP2	-1.5777131	4.01E-02
NRP1	1.3831909	4.01E-02
MTRF1	0.9294546	4.01E-02
TRAPPC2L	-1.0406916	4.01E-02
TM6SF1	0.6943284	4.01E-02
CYTH1	-1.4412438	4.02E-02
CTAGE5	-0.8619376	4.02E-02
LOC101929240///SNRNP200	0.5652522	4.02E-02
CENPL	1.1175585	4.02E-02
IFI27	-0.9847041	4.02E-02
WDHD1	0.8903177	4.02E-02
LAP3	0.781221	4.03E-02
GPR155	-2.7535465	4.03E-02
FGF23	-1.7503661	4.03E-02
TMEM198B	-0.6558672	4.03E-02
ESM1	1.2503375	4.03E-02
KAT6B	-0.6290795	4.03E-02
AVPR1B	-1.4963343	4.03E-02
CSTF2	0.7670655	4.04E-02
BICD1	1.1356395	4.04E-02
DDX18	0.6824498	4.04E-02
MAP3K12	-0.7284013	4.04E-02
NNT	-0.8649461	4.04E-02
TMEM67	0.7308246	4.05E-02
HEPACAM2	-2.8592891	4.05E-02
IL19	-1.9881011	4.05E-02
LOC100507330	-1.4131934	4.05E-02
OBSCN	-1.0161995	4.06E-02
RBP4	1.7707905	4.06E-02
MAP3K2	-1.2088413	4.06E-02
WHSC1	0.7322498	4.06E-02
KLHL21	0.8496268	4.06E-02
PXK	-0.6579654	4.06E-02
CCL28	-1.4685381	4.06E-02
PRPF4	0.7025334	4.07E-02
DONSON	0.6731187	4.07E-02
CNOT9	0.6805624	4.07E-02
TNK2	1.4971621	4.08E-02
CPNE1	0.8264166	4.08E-02
B3GNT7	-1.5180188	4.08E-02
NKX2-3	-1.8590206	4.08E-02
PMS2P3	0.4968379	4.09E-02
PRMT5	0.6904036	4.09E-02
LOC101928087	-1.2797988	4.10E-02
INO80C	-0.7734926	4.10E-02
LINC01089	-0.6213576	4.10E-02
CIRBP	-0.7060637	4.10E-02
TMEM131	-0.503528	4.10E-02
PQBP1	-0.6755083	4.11E-02
CYB5D2	-0.7239215	4.11E-02
NSUN6	-0.8750328	4.11E-02
CPNE6	-0.6237147	4.11E-02
LOC101928927///SNORA9///SNHG15	0.8707071	4.11E-02
TRPA1	-2.0606389	4.11E-02
HEATR6	0.7718432	4.11E-02
FAM83F	-0.8906765	4.11E-02
DNAH11	-1.6956745	4.11E-02
PAQR5	-1.5181317	4.11E-02
LINC00113	-1.4299019	4.11E-02
GLMN	0.6508036	4.11E-02
NOLC1	0.9485473	4.11E-02
HPS4	-0.5896506	4.11E-02
GREM1	1.5135115	4.11E-02
LINC01225	-1.6202692	4.11E-02
DEK	0.5399072	4.11E-02
RAB17	-0.7552189	4.11E-02
LEPROT	-2.197079	4.11E-02
RCN2	0.7173019	4.11E-02
BBOX1-AS1	1.1339262	4.12E-02
TARP	-2.1247155	4.12E-02
NOP14-AS1	1.6624143	4.13E-02
RAB7A	0.5574156	4.13E-02
PRR16	0.9183203	4.13E-02
PKD2	0.7177449	4.14E-02
SEC16B	-1.282627	4.14E-02
PNPLA2	-0.8289519	4.14E-02
MMAA	-0.5708967	4.14E-02
SGSM3	-1.0238154	4.14E-02
KIAA1462	0.8798488	4.14E-02
GPSM2	1.0723505	4.14E-02
CD44	1.1248231	4.16E-02
UBFD1	0.5633382	4.16E-02
FBP2	-4.0148564	4.16E-02
COPS8	0.5557814	4.16E-02
ASCC2	-0.5053037	4.16E-02
INTS2	0.74244	4.16E-02
MIR29C///MIR29B2	-1.6090096	4.16E-02
KRTAP11-1	-1.2845728	4.17E-02
CAPN8	-2.7136139	4.17E-02
EDDM3A	-2.0751448	4.18E-02
RNF14	-0.7480666	4.18E-02
PLEKHA7	-0.7293855	4.18E-02
KLC1	0.5645329	4.18E-02
TLX1NB	-0.7573717	4.18E-02
KIF5A	-0.8934279	4.18E-02
AK7	-1.1083769	4.18E-02
LBP	-1.0689077	4.18E-02
CCT2	0.6117084	4.18E-02
SH2D3A	-0.7310227	4.18E-02
HP11014	-1.0109228	4.18E-02
CYP3A7-CYP3A51P	-1.3716541	4.18E-02
MLX	-0.627309	4.19E-02
MRE11A	0.9567	4.20E-02
LOC105370629	-1.004249	4.20E-02
SNX33	-0.7449227	4.20E-02
ZNF440	-2.2092601	4.21E-02
TPRG1	1.9041954	4.21E-02
TAOK1	0.4360197	4.21E-02
CA14	-0.9366036	4.21E-02
LCORL	-0.5545959	4.21E-02
RSRC1	0.7073593	4.21E-02
PDCL3P4///PDCL3	0.6027442	4.22E-02
LCN12	-0.698551	4.22E-02
FKBP15	-0.8224977	4.23E-02
MIR4755	-1.382514	4.23E-02
LOC101929122	2.4787557	4.25E-02
MRPS36	-0.4319285	4.25E-02
ZEB2	-1.705817	4.25E-02
SFR1	0.5870545	4.26E-02
ZMYND11	1.3462136	4.26E-02
C3AR1	0.7370197	4.26E-02
RTN4	0.4632755	4.26E-02
IGSF9B	1.2672204	4.26E-02
KDM1B	0.8316584	4.27E-02
C14orf159	-0.7457388	4.27E-02
TMED5	-0.5581625	4.27E-02
NUDC	-1.877689	4.27E-02
SDHAP2///SDHAP1	-0.5591101	4.27E-02
GTF2A2	0.5624378	4.28E-02
RPH3AL	-0.7452099	4.28E-02
PNMA3	-1.5450574	4.28E-02
PGC	-5.2810514	4.28E-02
FAM43A	-1.4560675	4.30E-02
JCHAIN	-2.6723053	4.30E-02
FUT8-AS1	-0.6937054	4.30E-02
GTF2H2C///GTF2H2B///GTF2H2	0.9084179	4.30E-02
VWA1	0.9446312	4.30E-02
AHDC1	-1.7083174	4.30E-02
CCDC186	-0.5784329	4.30E-02
EMID1	-1.8517982	4.30E-02
FAM153A	-1.5613136	4.31E-02
GPATCH4	0.7031629	4.31E-02
C11orf95	0.7055382	4.31E-02
COPZ2	0.8962979	4.31E-02
LIMK1	0.9318103	4.31E-02
ATP1B1	-1.0738351	4.31E-02
C7orf43	-0.5755516	4.31E-02
BCL2	-0.8596905	4.31E-02
TFEB	0.6886357	4.31E-02
GS1-600G8.3	-1.91332	4.32E-02
SMIM24	-2.38014	4.32E-02
ATP6V1C1	-0.6601396	4.32E-02
HOMEZ	-0.9306996	4.33E-02
TRIQK	-1.9925885	4.33E-02
AMPD1	-2.6752375	4.33E-02
MST1L	-1.8201273	4.33E-02
BTBD19	0.7984957	4.33E-02
SIRT5	-0.8534959	4.34E-02
PRDM11	-0.7127492	4.34E-02
ZNF503	-2.0131139	4.34E-02
C1QL1	-0.945033	4.34E-02
CPTP	-0.5975084	4.34E-02
FGB	-2.9593966	4.34E-02
G3BP1	-0.5951627	4.34E-02
BMP6	-1.8562011	4.34E-02
E2F6	0.6648122	4.35E-02
CFHR4	1.9648045	4.35E-02
ACOT9	0.5796556	4.35E-02
LRP10	-0.6190403	4.35E-02
SLC12A3	-0.8041826	4.35E-02
DTNB	-1.0341279	4.35E-02
ACAA1	-0.5613448	4.35E-02
MESP2	-2.0138352	4.35E-02
VPS13C	-0.6427463	4.35E-02
FLJ37035	-1.1766754	4.35E-02
MIR664B///SNORA56///DKC1	0.7876168	4.35E-02
PWP2	-1.0608452	4.35E-02
TGIF1	-0.8806267	4.35E-02
LOC101928324	-0.7299181	4.35E-02
PER2	-0.8240842	4.35E-02
FBXO25	-0.6559801	4.36E-02
ZMYND12	-0.8889595	4.36E-02
PRDX5	-0.7183094	4.36E-02
CBR3	1.0858711	4.36E-02
ZNF239	0.8228447	4.37E-02
NUP62	0.9528538	4.37E-02
LHFPL3-AS1	-2.2926031	4.37E-02
MTERF3	0.715108	4.37E-02
MFSD9	-0.8141032	4.37E-02
SLCO3A1	1.018411	4.38E-02
APOL6	-0.7569882	4.38E-02
COMMD7	0.5345776	4.39E-02
NUF2	1.4813118	4.39E-02
ARHGDIA	0.9088719	4.39E-02
EID1	0.7081128	4.39E-02
GTF2F2	0.8615709	4.39E-02
FBXO33	-0.4173532	4.40E-02
GPLD1	-1.0242377	4.40E-02
PCSK5	1.3920249	4.40E-02
COX5B	-0.527655	4.40E-02
C3orf56	-1.3828274	4.40E-02
SPC24	-1.8611385	4.40E-02
SCART1	-0.9517135	4.40E-02
EGOT	1.7950427	4.40E-02
HS6ST2	2.5406533	4.41E-02
ODF2	0.4541193	4.42E-02
ZNF19	-0.7348493	4.42E-02
TMEM98	-0.8235658	4.42E-02
NDRG1	-0.8748612	4.42E-02
LYRM5	-0.9189127	4.42E-02
RNF24	0.7955817	4.42E-02
EIF4E	-0.7352763	4.42E-02
IFITM2	0.9437549	4.42E-02
TBL1XR1	0.869262	4.42E-02
BCAP29	-1.2713543	4.42E-02
DDHD1	-0.5330268	4.42E-02
PACSIN2	-0.836547	4.43E-02
RAP2A	0.6222847	4.43E-02
LUZP2	1.2991867	4.43E-02
KRT8P12	-0.5318399	4.43E-02
FAM167A-AS1	-2.5985093	4.43E-02
KIAA1804	-1.0727725	4.43E-02
WWP2	-0.7257892	4.44E-02
GNG10	0.4847832	4.44E-02
BAALC	-2.0020226	4.45E-02
LOC101928323	-1.6758597	4.45E-02
CNDP2	-0.6553947	4.46E-02
DNLZ///CARD9	0.5711866	4.46E-02
MTUS2	1.1913413	4.46E-02
WDR82	0.6223108	4.46E-02
GPR26	-1.2566458	4.46E-02
ZNF883	1.8024994	4.48E-02
UNGP2	-1.2755718	4.48E-02
EXOC4	-1.062537	4.49E-02
TCF4-AS1	-1.4800193	4.49E-02
HMGA1	0.8327161	4.49E-02
VILL	-2.0766998	4.49E-02
DSC2	-1.0006164	4.50E-02
TBC1D31	0.8031461	4.51E-02
CD160	-1.3981111	4.51E-02
ERGIC1	-0.5685081	4.51E-02
RHEBL1	1.7237271	4.51E-02
WDR72	3.0323003	4.51E-02
DERL2	-0.6514684	4.52E-02
SH3KBP1///ND3	-0.4216618	4.52E-02
FARSB	0.6551639	4.52E-02
SUCLG2	-0.8622823	4.52E-02
CA2	-3.0384191	4.52E-02
CCDC89	-0.9378841	4.52E-02
MBD1	-0.4346983	4.52E-02
EFEMP2	1.1344948	4.52E-02
NME1-NME2///NME2	0.5101463	4.52E-02
TNK1	-0.632637	4.52E-02
6-Mar	-0.5770964	4.52E-02
OR2A4	-0.6942145	4.52E-02
TPH1	-2.205126	4.52E-02
C14orf180	-1.5009426	4.52E-02
SYT9	-1.1272217	4.52E-02
PRC1	1.2565384	4.52E-02
PRRC2C	0.5481249	4.53E-02
GPR42///FFAR3	1.2078897	4.53E-02
MCAM	0.8281771	4.53E-02
EIF3B	0.7076281	4.54E-02
CACNG7	-0.8389026	4.54E-02
CA4	-1.6411207	4.54E-02
MIR675///H19	3.0960779	4.54E-02
DSCC1	1.1663731	4.54E-02
LOC101928826///TPT1	-0.4197059	4.54E-02
MIR302B	-0.736689	4.54E-02
PKHD1	-0.9007912	4.54E-02
S100P	-2.0449914	4.54E-02
SMAD2	-0.4405121	4.54E-02
PTEN	-0.728833	4.54E-02
SLC25A5	-0.5208657	4.55E-02
STIL	1.2732006	4.55E-02
C9orf84	-1.5782553	4.55E-02
AP1G1	-0.5434795	4.56E-02
TCP10	-1.3817039	4.56E-02
HOXC12	-0.7700541	4.58E-02
AXDND1	-3.3234305	4.58E-02
HOOK2	-0.5999134	4.58E-02
HEXIM2	-0.6040225	4.58E-02
PRSS50	-1.2282822	4.58E-02
ITGAX	-1.2985905	4.58E-02
CCNB1	1.1680015	4.58E-02
GNAI2	0.6801218	4.59E-02
CYB5B	0.9396824	4.59E-02
LOC101929441	-1.4299741	4.59E-02
SCARB2	-0.4960527	4.59E-02
RASAL2	0.6585675	4.60E-02
KIAA1755	1.718141	4.60E-02
LINC01122	-1.4322442	4.60E-02
DCAF4L2	-1.5017917	4.60E-02
FBL	0.7062267	4.61E-02
ZNF146	0.5473895	4.61E-02
TMEM54	-0.9699081	4.61E-02
CCDC151	-0.9040488	4.62E-02
MAATS1	-1.5867098	4.62E-02
TMEM57	-0.561977	4.62E-02
NXT1	0.7066861	4.62E-02
ITGA1	1.0550218	4.62E-02
SP1	-0.5352901	4.62E-02
LOC105371703	-1.6310927	4.63E-02
CC2D1A	-0.6831994	4.63E-02
NDST4	-2.2331483	4.63E-02
CXCL8	2.4027565	4.63E-02
EPS8L1	-1.1076335	4.63E-02
LOC100129129	-0.9003887	4.63E-02
MIPEPP3	-0.7398006	4.63E-02
TM4SF1	1.3916918	4.63E-02
EXOSC3	0.8281273	4.64E-02
MSRB3	1.2052012	4.64E-02
TMEM220	-1.2950059	4.64E-02
RECQL	0.5601717	4.64E-02
SRSF1	0.4849276	4.64E-02
MYO5C	-0.8848275	4.64E-02
HMBS	0.5559787	4.64E-02
DNAJC4	-0.6963627	4.64E-02
FAM220A	0.5076727	4.64E-02
HNRNPDL	0.4955899	4.64E-02
CA12	-1.4283103	4.65E-02
FAM214A	-0.6820198	4.65E-02
OR1J2	-1.7819159	4.65E-02
LOC100419741	-1.1271209	4.65E-02
ABCA8	-2.6912186	4.65E-02
MYADM	0.6784126	4.66E-02
C20orf173	-1.9805256	4.66E-02
TNNI3K	-0.7248847	4.67E-02
HEG1	0.8880823	4.67E-02
AQP12B///AQP12A	-0.7161808	4.67E-02
NPM3	0.793989	4.68E-02
DHX57	0.4736258	4.68E-02
RFFL	-0.6039793	4.68E-02
MAP3K8	0.7642156	4.69E-02
NMRAL1P1	-1.4802859	4.69E-02
SPATA18	-1.1787809	4.69E-02
ZNF385B	-3.2064691	4.69E-02
SEMA6D	-1.3983023	4.69E-02
SYTL1	-1.069808	4.69E-02
MYCNOS	-1.7299716	4.69E-02
C20orf141	-1.4853624	4.70E-02
SLC25A4	-1.0815392	4.70E-02
EIF5	-0.6735345	4.70E-02
SGK494	0.8209075	4.70E-02
TOP2A	1.5931462	4.70E-02
SGO2	1.0346229	4.70E-02
CTSZ	0.89244	4.71E-02
SH3RF3	0.8381082	4.72E-02
SMCO4	-0.5780846	4.72E-02
LPCAT3	-1.0969535	4.72E-02
KLRB1	-1.4967302	4.72E-02
CEP164	0.6442047	4.73E-02
ERVW-1	-1.1249761	4.73E-02
DENND5B	-1.5034607	4.73E-02
SVIL	1.0630727	4.74E-02
CD101	-1.093052	4.75E-02
MOXD1	0.9830517	4.76E-02
SLFN13	-1.1678048	4.76E-02
SLC13A5	-1.1157209	4.76E-02
DIAPH1	-0.9618417	4.76E-02
SAMM50	-0.4644832	4.77E-02
LOC101929872	-0.4886449	4.78E-02
PLPP3	-0.8260036	4.78E-02
NDUFAF3	0.3706772	4.78E-02
NARR///RAB34	1.0317386	4.78E-02
KL	-1.087939	4.78E-02
FAM47E	-0.8570748	4.78E-02
SPTLC2	-0.5609793	4.79E-02
GJC1	1.8655788	4.79E-02
BTBD3	-0.6265252	4.79E-02
LINC01314	-2.4128246	4.80E-02
CLEC2L	-1.3475414	4.80E-02
ENG	1.3088015	4.80E-02
PPARA	-0.7981242	4.80E-02
PRORY	-1.8516119	4.81E-02
VPS37C	-1.0575747	4.81E-02
NOTCH2NL	0.5933301	4.81E-02
ZNF267	0.5132202	4.81E-02
CHKA	-0.6874803	4.82E-02
DLD	-0.5351286	4.82E-02
TMEM143	-0.7191786	4.82E-02
KIF20A	0.9856865	4.82E-02
LINC00269	-1.5609499	4.83E-02
UPP1	1.1981895	4.84E-02
LAMP2	0.6136991	4.84E-02
SNTB2	-0.919592	4.84E-02
KLHDC8B	0.7679647	4.84E-02
WDR90	0.6960973	4.85E-02
USP46-AS1	-0.6929445	4.85E-02
B4GALNT2	-1.5597929	4.85E-02
SLC25A5-AS1	-0.8025729	4.85E-02
MRM2	0.5113474	4.85E-02
ADCYAP1R1	-1.2478464	4.85E-02
CBWD7///CBWD6///CBWD3///CBWD5///CBWD2///CBWD1	0.7665403	4.86E-02
LOC441081	-0.7034368	4.86E-02
TMED6	-3.2309436	4.86E-02
UBE2C	1.5908513	4.86E-02
OXNAD1	-0.4962642	4.86E-02
CASP10	-1.430217	4.86E-02
KCNMB2	-1.7911418	4.87E-02
LINC00909	-0.495171	4.87E-02
CEP55	1.1386677	4.87E-02
EAF2	-1.2922317	4.87E-02
NAT8B///NAT8	-1.9757373	4.88E-02
ATP5G3	-1.000533	4.89E-02
LOC619427	-0.8505832	4.89E-02
MIR15A///DLEU2L///DLEU2	0.9501349	4.89E-02
MCM3	0.8322605	4.89E-02
MIR6773///ESRP2	-0.9635026	4.89E-02
KIAA1841	-0.9708161	4.89E-02
MAGOHB///MAGOH	0.5046431	4.89E-02
TANK	0.6703732	4.90E-02
SYNE1	-1.5330285	4.90E-02
LOC100129518///SOD2	1.4307502	4.90E-02
DNAJA4	1.1192005	4.90E-02
MSANTD4	0.4364397	4.90E-02
NRF1	-1.305839	4.92E-02
ITFG2	-0.5502478	4.92E-02
CYGB	-1.2677317	4.92E-02
HMGA2	-1.4493274	4.92E-02
GLP1R	-1.4970843	4.93E-02
HMGB3	1.3989418	4.93E-02
PRRG3	-2.19313	4.93E-02
ZNF253	-0.7883285	4.93E-02
LSM8	-0.6927594	4.93E-02
NDC80	1.2182748	4.94E-02
QSOX2	1.5136407	4.94E-02
PDCD7	0.5055269	4.94E-02
KLF12	-0.8498348	4.94E-02
CD14	0.7946686	4.95E-02
MROH7	-1.4844178	4.95E-02
APOC4-APOC2///APOC4///APOC2	2.3569137	4.95E-02
SPTSSB	-1.6367178	4.95E-02
SUMO1	0.4402023	4.96E-02
HOTAIRM1	1.1132059	4.97E-02
MYL7	-0.8129099	4.97E-02
EDNRB	-0.902123	4.97E-02
DVL2	1.0193552	4.97E-02
CD79A	-2.3092323	4.97E-02
AFAP1	0.7298474	4.98E-02
CDC25B	1.3101105	4.98E-02
MADCAM1	-1.4692897	4.98E-02
RTKN2	1.371324	4.98E-02
MAPK6	-1.413091	4.99E-02
CCDC82	0.6377312	4.99E-02
TMOD2	1.6335942	5.00E-02
LINC01530	-1.5155671	5.00E-02
TMEM65	0.8418522	5.00E-02
FGF10-AS1	-1.8337405	5.00E-02
ATP2B2	-1.0558484	5.00E-02
AHSA1	0.5239976	5.00E-02
TCP11L1	0.9070064	5.01E-02
EMP1	0.8897529	5.01E-02
CSPG4P5	-1.4740288	5.02E-02
IGFBP3	0.8768525	5.02E-02
FUT9	-3.6724681	5.02E-02
GFM2	-0.4801874	5.02E-02
GPR6	-0.8680848	5.03E-02
DOK4	-0.7755864	5.03E-02
CHEK1	1.2474603	5.04E-02
TPM1	0.8326297	5.04E-02
SYNRG	-0.5755926	5.04E-02
FAAP100	-1.4383248	5.05E-02
NDUFS7	-0.4803097	5.05E-02
DENND4C	-0.616099	5.05E-02
POU2F2	-1.4151465	5.06E-02
PPARG	-1.3403836	5.06E-02
UBE2D3	-0.655286	5.06E-02
IFI30///PIK3R2	0.7943466	5.06E-02
C22orf39	-0.7013509	5.06E-02
ZFPM1	-0.6595536	5.06E-02
QPCT	1.5526931	5.06E-02
MIR6778///SHMT1	-0.5547103	5.06E-02
SLC35F6///CENPA	1.4761964	5.07E-02
PADI2	1.8452392	5.07E-02
ANXA9	1.7339806	5.07E-02
LTN1	-0.5256523	5.07E-02
ATP5O	-0.5381937	5.07E-02
RNF141	-0.5101788	5.07E-02
ENDOV	-0.5149668	5.07E-02
MPHOSPH10	0.4659152	5.07E-02
ASB8	-0.5477601	5.08E-02
FER	1.0153776	5.08E-02
VHL	-0.8875127	5.08E-02
LOC100506207	-1.140427	5.08E-02
POLR2J4	-0.6487235	5.08E-02
DNM3OS	1.226917	5.08E-02
AKR1A1	-0.7245185	5.08E-02
FAM91A1	0.5390494	5.08E-02
SRSF10	0.5644528	5.09E-02
BBX	0.4668238	5.09E-02
LOC100507513	-1.0064396	5.09E-02
LATS2	0.7193698	5.09E-02
MPC2	-0.9068167	5.09E-02
ORM2///ORM1	-2.8877902	5.10E-02
KCNA3	-1.957956	5.10E-02
C15orf57	-0.4907497	5.10E-02
LINC00623///LINC00869	0.5119226	5.10E-02
TMEM239	-0.8229245	5.11E-02
GGT6	-1.3416972	5.11E-02
CRTAP	0.6490131	5.11E-02
CNOT6L	-0.4709244	5.11E-02
SPATA6L	-0.7569883	5.12E-02
SEPT3	-1.0487583	5.12E-02
C5orf63	-0.9066157	5.12E-02
WWTR1	0.9623979	5.12E-02
EPN1	-0.9167631	5.13E-02
CD3EAP	0.7858429	5.14E-02
SNX1	-1.2502301	5.14E-02
ZNF83	0.9252597	5.15E-02
MAST4	-2.0594739	5.15E-02
HACE1	0.4990809	5.15E-02
TMEM254	-0.6068879	5.15E-02
COL7A1	0.875388	5.15E-02
ZNF532	0.7933309	5.15E-02
BCKDHA	-0.7972226	5.15E-02
KBTBD6	0.6276369	5.18E-02
SLC10A3	0.7354227	5.18E-02
CLC	-1.4876822	5.18E-02
CLDN4	-1.765682	5.18E-02
ELMO3	-0.8045096	5.18E-02
MIR6883///PER1	-0.7965815	5.18E-02
VDR	-0.8942455	5.18E-02
TNRC6C	-1.0844052	5.19E-02
NDUFC1	-1.0891349	5.19E-02
ATP6	-0.4359073	5.19E-02
SLC51A	-2.6532151	5.19E-02
TRAF6	-0.4767083	5.20E-02
RCN3	1.2389847	5.20E-02
TUBA1B	0.3920208	5.20E-02
NUP62CL	1.2429154	5.20E-02
FHAD1	-0.9627335	5.21E-02
NUTM1	-1.6294643	5.21E-02
DLGAP4	-0.472373	5.21E-02
PTPA	-0.4983466	5.21E-02
LOC101930286///LOC101930149	-1.6637474	5.22E-02
PLA2G4E-AS1	-1.7306775	5.22E-02
ZNF658	-0.6172861	5.22E-02
PLEKHG5	1.2576076	5.22E-02
MNDA	0.9480114	5.22E-02
AHNAK2	1.8283615	5.22E-02
ITGB1BP1	0.6746402	5.22E-02
LOC101928845	-1.1967159	5.22E-02
ACTG1P17	-0.643126	5.23E-02
FAM3B	-3.0838632	5.23E-02
TDO2	1.4334408	5.23E-02
NAT1	-0.8605227	5.23E-02
IBTK	-1.0377124	5.23E-02
GOLPH3L	-0.6192352	5.23E-02
C21orf59	0.6698403	5.24E-02
SLC35E1	-0.4226958	5.24E-02
HAUS2	0.5742418	5.24E-02
LOC101928669///LOC644450	-0.7420914	5.24E-02
TRAF3	0.5337334	5.25E-02
LINC01366	-1.397124	5.25E-02
HGD	-1.9631088	5.25E-02
PAX6	1.4956081	5.25E-02
IER3IP1	-0.6004836	5.25E-02
SSBP3-AS1	-0.7117176	5.26E-02
NAB1	-1.4026329	5.26E-02
HSPE1	0.8429878	5.27E-02
TTC39C	-1.8537912	5.27E-02
FAM46C	-1.7231956	5.27E-02
ZNF583	-0.5681465	5.27E-02
TMEM262	-1.3532666	5.27E-02
PNPLA1	-1.9877239	5.27E-02
NYX	-0.7570054	5.27E-02
OS9	-0.4145584	5.27E-02
CCL3L3///CCL3L1///CCL3	1.1497159	5.28E-02
SHANK2	-1.3769178	5.28E-02
AFAP1L2	0.9483195	5.29E-02
KLHL23	1.2716926	5.29E-02
NLE1	1.1449763	5.30E-02
RRAS	0.7293305	5.30E-02
PCDHA1///PCDHA2///PCDHA3///PCDHA4///PCDHA5///PCDHA6///PCDHA7///PCDHA8///PCDHA10///PCDHA11///PCDHA12///PCDHA13///PCDHAC1///PCDHAC2///PCDHA9	1.694789	5.30E-02
TAP2	-0.5575519	5.31E-02
CIDEA	-1.4943361	5.31E-02
TRIM42	-0.8184462	5.31E-02
IRF4	-1.6010151	5.31E-02
HS2ST1	0.7233284	5.31E-02
AXL	0.7200503	5.31E-02
PAK3	-1.2315026	5.31E-02
CDK5RAP3	-0.4911124	5.31E-02
PAGR1	0.6042744	5.31E-02
BCAR3	-0.9389894	5.31E-02
MIR3658///UCK2	0.8587356	5.32E-02
NNMT	1.5561452	5.32E-02
LINC00032	-1.6860316	5.32E-02
PIGL	-0.7782866	5.32E-02
SLC4A11	1.0497472	5.32E-02
ZBED5-AS1	-0.5010814	5.33E-02
ACTL6A	0.5986602	5.33E-02
LOC100130417	-0.8611621	5.33E-02
NECAP1	-0.6081355	5.33E-02
SCAMP2	-0.6396038	5.33E-02
CUL5	0.4462782	5.33E-02
MEGF6	1.2363288	5.33E-02
GAD1	3.3729533	5.33E-02
SPRR1A	-2.7470535	5.33E-02
TRPV5	-1.3662966	5.33E-02
NDUFA9	-0.4146371	5.33E-02
PRPF3	0.7339677	5.33E-02
EFNB3	-0.6993496	5.33E-02
TMEM38A	-2.0272169	5.33E-02
RARRES2	0.8850006	5.33E-02
FHL3	1.1928454	5.33E-02
MECOM	-1.7568755	5.34E-02
ATP9B	-1.0374524	5.34E-02
OCEL1	-0.6461102	5.34E-02
LINC00865	-0.7743425	5.34E-02
PLCB1	1.762416	5.34E-02
KIF1B	0.6368385	5.34E-02
AQP4-AS1	-1.8214083	5.34E-02
CXADR	-0.9114593	5.34E-02
PRR14	1.2051546	5.34E-02
IHH	-1.0815919	5.35E-02
ZNF540	-1.687419	5.35E-02
RBM12B	0.6195512	5.35E-02
NTHL1	0.6152474	5.36E-02
ANTXR2	0.9547092	5.36E-02
LOC102723645	-2.0113494	5.37E-02
DBF4	0.6580681	5.37E-02
ZNF462	1.1133492	5.37E-02
LOC105370888	-1.1717924	5.37E-02
EPS15L1	-0.9876809	5.37E-02
TRPM2-AS	-1.4946921	5.37E-02
PPP4R2	0.615469	5.37E-02
MED30	0.7257799	5.37E-02
ALMS1P1	-0.817575	5.37E-02
APC	-0.6038996	5.37E-02
UQCR11	-0.3647652	5.37E-02
SYNC	1.0703482	5.39E-02
HMGB2	0.6590223	5.39E-02
TTF1	0.5150337	5.40E-02
