Label	logFC	FDR
 YIPF3 	0.45751962	4.13E-03
 IMMP1L 	0.50881618	4.13E-03
 TMEM9 	0.46316027	4.13E-03
 ABHD13 	0.57193882	4.14E-03
 DOCK11 	0.66746944	4.14E-03
 PTPRK 	0.5018336	4.14E-03
 UBE2F 	0.59037516	4.15E-03
 ANGEL2 	0.50019647	4.15E-03
 LRRC1 	0.48467373	4.16E-03
 TTC4 	0.49461589	4.17E-03
 PRR3 	0.48280971	4.17E-03
 SPTLC2 	0.53989613	4.17E-03
 AARS 	0.56253584	4.17E-03
 DRAM1 	0.41868967	4.18E-03
 ZNF143 	0.55565209	4.18E-03
 TSFM 	0.47448867	4.19E-03
 CYP51A1 	0.64903653	4.20E-03
 SEMA7A 	0.47275869	4.20E-03
 MRPL50 	0.55759409	4.21E-03
 CSGALNACT1 	0.56673804	4.21E-03
 ZC3H13 	0.47494107	4.22E-03
 PCYOX1L 	0.41417142	4.23E-03
 ETV7 	0.46473113	4.24E-03
 MAN1B1 	0.42721133	4.24E-03
 C6orf105 	-1.01951564	4.24E-03
 HIST1H4F 	0.53737584	4.24E-03
 TMEM85 	0.54118751	4.24E-03
 METT11D1 	0.44729122	4.24E-03
 ERCC1 	0.41746609	4.27E-03
 DYNLRB1 	0.41922587	4.27E-03
 CUL3 	0.47241138	4.30E-03
 EPHA7 	-1.02944973	4.31E-03
 CHPF2 	0.42220587	4.32E-03
 ARGLU1 	0.52881913	4.33E-03
 LPIN1 	0.5080556	4.33E-03
 ZC3H11A 	0.54712884	4.34E-03
 POLG 	0.40199896	4.34E-03
 HINFP 	0.48357244	4.34E-03
 PAFAH1B2 	0.451557	4.34E-03
 PHB 	0.42386222	4.35E-03
 GRLF1 	0.49590536	4.35E-03
 C8orf84 	-0.62467447	4.35E-03
 ARL15 	0.50593678	4.35E-03
 FMO5 	-0.81772476	4.36E-03
 GCC2 	0.62178033	4.38E-03
 PLEKHO2 	0.45616227	4.39E-03
 CLIC5 	0.73950473	4.39E-03
 RAP1GAP 	-0.71332047	4.39E-03
 PLAC1 	0.50038791	4.39E-03
 B4GALT3 	0.45243958	4.40E-03
 MAD2L1BP 	0.43381182	4.41E-03
 DCAF16 	0.55268416	4.41E-03
 TBCCD1 	0.49061576	4.41E-03
 APBB1IP 	0.47542178	4.41E-03
 HIP1 	0.45109853	4.42E-03
 GTPBP2 	0.43060849	4.42E-03
 C13orf1 	0.46391287	4.43E-03
 TCTN2 	0.47400202	4.44E-03
 PPP1R1A 	-0.69124558	4.47E-03
 PSMG2 	0.45168418	4.47E-03
 ALG9 	0.503594	4.50E-03
 IL7 	0.60885087	4.51E-03
 BRD9 	0.44751864	4.51E-03
 ZNF706 	0.48379989	4.53E-03
 AQP1 	0.63189509	4.54E-03
 KCNQ1 	-0.56035653	4.54E-03
 KRR1 	0.58853791	4.55E-03
 NSD1 	0.43200951	4.55E-03
 FRAS1 	0.5504028	4.57E-03
 COL18A1 	0.40045911	4.58E-03
 LMF2 	0.42839349	4.59E-03
 AP4E1 	0.50519198	4.60E-03
 SYT4 	-0.57069711	4.60E-03
 ARMCX6 	0.391366	4.61E-03
 USP4 	0.50591124	4.64E-03
 GDE1 	0.4569492	4.64E-03
 PNN 	0.4519376	4.64E-03
 BTN2A1 	0.46633978	4.65E-03
 TJP1 	0.54447798	4.66E-03
 AIFM1 	0.54587622	4.67E-03
 CRIP1 	0.6420378	4.67E-03
 KIF13A 	0.52366607	4.67E-03
 ACP6 	0.4307418	4.69E-03
 KIAA1430 	0.45157007	4.70E-03
 RABEPK 	0.43873449	4.71E-03
 ZSWIM1 	0.45344773	4.73E-03
 HLA-F 	0.57690591	4.76E-03
 C22orf28 	0.41797407	4.76E-03
 RAB21 	0.53641691	4.78E-03
 ADCY7 	0.45051687	4.80E-03
 NENF 	0.45197369	4.81E-03
 ABCC1 	0.4470338	4.81E-03
 GPT2 	-0.55809062	4.82E-03
 TAS2R14 	0.62642673	4.82E-03
 RBCK1 	0.42030802	4.83E-03
 NEK7 	0.63242327	4.85E-03
 ARNT 	0.49761011	4.85E-03
 HSPG2 	0.48568089	4.85E-03
 RFTN1 	0.50785333	4.85E-03
 PDK3 	0.484165	4.85E-03
 RENBP 	0.42637558	4.85E-03
 ZNF768 	0.46438884	4.85E-03
 TMEM127 	0.43203644	4.86E-03
 YIPF6 	0.47509191	4.86E-03
 TTLL13 	0.53943882	4.87E-03
 NF2 	0.43047418	4.88E-03
 CHAD 	-0.45070396	4.88E-03
 RPF1 	0.54358958	4.88E-03
 TBXAS1 	0.40958084	4.89E-03
 C17orf42 	0.59509431	4.89E-03
 DEDD 	0.3778644	4.90E-03
 RPP14 	0.53641027	4.90E-03
 METTL6 	0.53179753	4.91E-03
 TAF9 	0.63326746	4.93E-03
 TNFRSF1B 	0.43982667	4.93E-03
 THBS1 	0.89604807	4.94E-03
 ANO7 	-0.46617142	4.95E-03
 HLA-DMA 	0.57277042	4.95E-03
 GAB2 	0.50558622	4.95E-03
 FLJ26850 	-0.51013773	4.95E-03
 CYGB 	0.39739753	4.96E-03
 DCAF4 	0.44495598	4.96E-03
 SNRPA1 	0.57999436	4.96E-03
 ARSB 	0.47292364	4.96E-03
 SLC25A4 	-0.51547278	4.96E-03
 VOPP1 	0.43627309	4.96E-03
 CRYM 	0.4404158	4.97E-03
 JTB 	0.4160326	4.97E-03
 PUS3 	0.53865642	4.98E-03
 TSPAN17 	0.38534467	4.98E-03
 C5orf51 	0.50877831	4.99E-03
 INO80D 	0.441401	5.01E-03
 ANP32B 	0.60736816	5.01E-03
 ZNF18 	0.52594889	5.02E-03
 LNX2 	0.49523107	5.02E-03
 ACTR6 	0.67453984	5.04E-03
 FLJ36031 	0.44010333	5.04E-03
 TLR4 	0.58118836	5.04E-03
 ANO1 	0.5572682	5.05E-03
 MRPS15 	0.54481738	5.05E-03
 ZNF616 	0.57156431	5.06E-03
 RASGRP3 	0.50444307	5.06E-03
 IFI44 	0.6406204	5.07E-03
 IKBKE 	0.42561349	5.08E-03
 SURF6 	0.41721089	5.09E-03
 DNAJC3 	0.62642896	5.09E-03
 TBC1D23 	0.5242616	5.09E-03
 DPP8 	0.517989	5.09E-03
 PLEKHM2 	0.45687216	5.09E-03
 NIT1 	0.45364813	5.10E-03
 LGMN 	0.5776666	5.11E-03
 SBNO2 	0.41754791	5.11E-03
 RNF20 	0.49074631	5.12E-03
 CAPZA2 	0.63931529	5.12E-03
 AFG3L2 	0.55665496	5.12E-03
 ZNF592 	0.4079068	5.12E-03
 LRP11 	0.38810389	5.13E-03
 TLR2 	0.55644353	5.13E-03
 C13orf18 	0.72961002	5.14E-03
 DGKD 	-0.54306729	5.15E-03
 SDR9C7 	-0.40912587	5.17E-03
 CEPT1 	0.5155694	5.19E-03
 PIK3CA 	0.55255709	5.20E-03
 PAK1 	0.51908309	5.21E-03
 PLRG1 	0.74890618	5.21E-03
 TAB3 	0.49333002	5.21E-03
 AMFR 	0.49618436	5.21E-03
 TCTEX1D2 	0.4461558	5.22E-03
 GLUD1 	0.53806573	5.22E-03
 PDCD6IP 	0.46726613	5.22E-03
 TTC17 	0.52340038	5.23E-03
 KIAA0753 	0.4991006	5.24E-03
 ATP6V0D1 	0.48758931	5.24E-03
 PPP3CB 	0.5142058	5.24E-03
 BTG3 	0.48049362	5.24E-03
 WBP4 	0.55387364	5.25E-03
 NVL 	0.48592104	5.27E-03
 PRAP1 	0.82081629	5.28E-03
 PTPRO 	0.53458098	5.28E-03
 ERBB3 	0.65116629	5.30E-03
 NGLY1 	0.48331956	5.30E-03
 PEMT 	0.47936196	5.31E-03
 CORO1B 	0.39613269	5.31E-03
 AKR1E2 	0.62278989	5.31E-03
 DPY30 	0.59178249	5.32E-03
 RAB8A 	0.51803327	5.32E-03
 TRAF1 	0.4642782	5.32E-03
 SLC2A3 	0.67457618	5.32E-03
 STAU2 	0.48086009	5.33E-03
 PIK3C3 	0.52272622	5.33E-03
 HAUS2 	0.56227184	5.34E-03
 RBPMS2 	-0.64158691	5.34E-03
 ADRBK2 	0.62656582	5.35E-03
 FOXRED2 	0.41886898	5.35E-03
 SPEN 	0.42052522	5.35E-03
 NOSIP 	0.3851082	5.35E-03
 ZBTB16 	-0.73411071	5.35E-03
 MEP1A 	1.16057184	5.37E-03
 ATP6V0E1 	0.56633551	5.37E-03
 TBC1D15 	0.53229778	5.37E-03
 MFAP3 	0.50317982	5.37E-03
 GNA15 	0.47663222	5.38E-03
 MAP3K11 	0.37945107	5.38E-03
 FKTN 	0.6329704	5.38E-03
 SLC9A8 	0.39449031	5.39E-03
 PRPF18 	0.52055904	5.39E-03
 PAXIP1 	0.46759211	5.39E-03
 AKAP8 	0.36528258	5.41E-03
 HEATR6 	0.46456567	5.41E-03
 ASPA 	-0.8193378	5.42E-03
 TFDP2 	0.53022769	5.42E-03
 CEBPB 	0.49083836	5.42E-03
 SPOCK1 	0.62551098	5.42E-03
 IER3IP1 	0.50946682	5.42E-03
 REPIN1 	0.3910204	5.43E-03
 ZNF107 	0.45081204	5.43E-03
 CCNL2 	0.47235182	5.43E-03
 SLC33A1 	0.51253887	5.44E-03
 VPS13C 	0.58883138	5.45E-03
 BRD4 	0.38806962	5.47E-03
 CBLC 	0.44145084	5.47E-03
 TTC5 	0.46831456	5.48E-03
 ZCCHC17 	0.51737322	5.48E-03
 TRIM5 	0.61300476	5.48E-03
 SMAD3 	0.45221149	5.50E-03
 ALKBH6 	0.47691051	5.51E-03
 RPS6KB2 	0.40612693	5.52E-03
 PLEC 	0.400487	5.53E-03
 CLCN4 	0.50832549	5.53E-03
 CNOT3 	0.36429929	5.53E-03
 ZMAT3 	0.43071262	5.54E-03
 FAM83H 	0.4311612	5.55E-03
 DCTD 	0.53144987	5.55E-03
 TNFRSF1A 	0.45472342	5.55E-03
 RNF6 	0.4324838	5.57E-03
 BATF 	0.42217816	5.59E-03
 SKIV2L 	0.40324347	5.60E-03
 PANK1 	0.47732904	5.61E-03
 MRPL23 	0.44183973	5.61E-03
 HIAT1 	0.59650618	5.63E-03
 RNASEK 	0.52844287	5.63E-03
 C11orf61 	0.47753547	5.64E-03
 ZNF266 	0.54208816	5.67E-03
 APPL1 	0.41664058	5.67E-03
 RBM16 	0.42390096	5.68E-03
 C1orf111 	-0.49873033	5.69E-03
 ARHGEF1 	0.39741349	5.70E-03
 GNB4 	0.58487011	5.71E-03
 PNMA2 	0.70263716	5.72E-03
 EPHB1 	0.51283491	5.73E-03
 FAM63B 	0.60277462	5.73E-03
 KRTCAP2 	0.44768213	5.73E-03
 ZFYVE16 	0.58314671	5.73E-03
 NDST2 	0.40875404	5.75E-03
 FAM173B 	0.56694722	5.76E-03
 ADAM28 	-0.78894838	5.76E-03
 INTS6 	0.50204176	5.76E-03
 FLVCR1 	0.4938116	5.77E-03
 NRCAM 	0.63161247	5.77E-03
 ASPH 	0.46413411	5.79E-03
 C16orf87 	0.50486056	5.79E-03
 ZMYM3 	0.40387913	5.79E-03
 NEUROD1 	-0.71558413	5.79E-03
 TOM1 	0.41247124	5.80E-03
 MUM1 	0.40598253	5.80E-03
 GALNTL4 	0.45981918	5.81E-03
 NEK11 	0.53852471	5.82E-03
 MYNN 	0.58557491	5.83E-03
 PCYT1A 	0.46322911	5.84E-03
 C19orf33 	0.5483484	5.85E-03
 CD74 	0.58571658	5.89E-03
 CCDC138 	0.50403442	5.89E-03
 DICER1 	0.45500816	5.89E-03
 ATG16L1 	0.44777353	5.89E-03
 IGJ 	-1.0286708	5.89E-03
 DPH2 	0.39722864	5.90E-03
 GLRX3 	0.41124609	5.91E-03
 PLXNB1 	0.38191809	5.92E-03
 MRPS26 	0.39292667	5.92E-03
 CDYL 	0.45886929	5.92E-03
 STARD3 	0.49932944	5.92E-03
 FZD3 	0.53413411	5.92E-03
 ZNF148 	0.53788256	5.92E-03
 ZFYVE26 	0.44200202	5.96E-03
 STAT5A 	0.42868007	5.96E-03
 PTPMT1 	0.45971689	5.96E-03
 ZNF561 	0.53844678	5.97E-03
 CERKL 	0.53891118	5.98E-03
 ARIH2 	0.46403156	5.98E-03
 CD2BP2 	0.44231178	5.98E-03
 KRT18 	0.54401849	5.99E-03
 ZBTB44 	0.46364318	6.00E-03
 SEC11A 	0.42889164	6.02E-03
 HERC4 	0.56883187	6.03E-03
 SAT1 	0.56703102	6.03E-03
 C4orf3 	0.79826123	6.03E-03
 CXCR4 	0.63703451	6.04E-03
 EIF2S3 	0.6082714	6.06E-03
 MED7 	0.40787138	6.08E-03
 SCARB2 	0.47595744	6.09E-03
 ANKRD13D 	0.38206344	6.09E-03
 FUT6 	0.47340493	6.09E-03
 INO80 	0.45347662	6.10E-03
 PRKCA 	0.47446036	6.11E-03
 C6orf62 	0.54462253	6.11E-03
 MREG 	0.40744387	6.12E-03
 TRAPPC9 	0.42967104	6.12E-03
 ZNF468 	0.59593207	6.12E-03
 SAP30BP 	0.42443513	6.13E-03
 NHEDC2 	0.53069816	6.13E-03
 PDE7A 	0.48684593	6.13E-03
 CCNT1 	0.56994151	6.13E-03
 RPL18 	0.61397093	6.14E-03
 BET1 	0.53126427	6.15E-03
 SLC9A2 	-0.89008498	6.18E-03
 KIAA0226 	0.34636782	6.18E-03
 CPZ 	0.47826991	6.19E-03
 SECISBP2 	0.49012424	6.20E-03
 TMEM161A 	0.38610022	6.20E-03
 CYB561 	0.44730542	6.21E-03
 L2HGDH 	0.41032889	6.22E-03
 NAGK 	0.516209	6.23E-03
 FPR1 	0.61908216	6.23E-03
 CALM3 	0.45110711	6.24E-03
 ARHGAP26 	0.47028576	6.26E-03
 ANKS6 	0.46860002	6.26E-03
 RPS15A 	0.71250036	6.27E-03
 ZNF253 	0.54788371	6.27E-03
 XYLB 	0.4522766	6.27E-03
 TADA1 	0.46897871	6.28E-03
 MAP2K3 	0.43711949	6.29E-03
 TATDN2 	0.39901064	6.31E-03
 C7orf60 	0.54763902	6.32E-03
 DEM1 	0.44175969	6.32E-03
 SRGN 	0.687412	6.32E-03
 TMEM104 	0.41165744	6.32E-03
 C6orf170 	0.50818289	6.32E-03
 EDAR 	0.49411038	6.32E-03
 GALNT2 	0.43302896	6.33E-03
 ZNF259 	0.447473	6.33E-03
 PLDN 	0.50646684	6.34E-03
 FURIN 	0.40731829	6.35E-03
 PLEKHM1 	0.41493696	6.35E-03
 ATF2 	0.4706696	6.36E-03
 SLC31A1 	0.44298013	6.36E-03
 MRPS23 	0.56190804	6.37E-03
 LOC283588 	-0.51973958	6.37E-03
 CHRDL2 	0.78728024	6.40E-03
 SLC28A2 	-0.94811998	6.40E-03
 SPECC1L 	0.5110712	6.41E-03
 PRPF31 	0.38114718	6.41E-03
 CLEC2B 	0.64355013	6.43E-03
 HBS1L 	0.48116436	6.44E-03
 SCYL1 	0.37170207	6.44E-03
 RTEL1 	0.36496936	6.44E-03
 ZNHIT1 	0.37068791	6.45E-03
 SNRNP70 	0.414954	6.45E-03
 NDUFA9 	0.53689942	6.46E-03
 EML3 	0.38401513	6.47E-03
 XAF1 	0.40300529	6.50E-03
 ABCD1 	0.40388976	6.51E-03
 UFM1 	0.4945474	6.51E-03
 DCAF13 	0.34651942	6.53E-03
 MTFMT 	0.44047067	6.53E-03
 B4GALT4 	0.52793496	6.53E-03
 ZNF678 	0.41061364	6.54E-03
 TMEFF1 	0.53785053	6.54E-03
 R3HDM2 	0.40319709	6.55E-03
 EAPP 	0.46579211	6.56E-03
 ITGB4 	0.47609582	6.56E-03
 NEK5 	0.43168424	6.56E-03
 DAAM1 	0.60762791	6.57E-03
 DNAJC1 	0.46496629	6.58E-03
 FGG 	-0.65987041	6.58E-03
 C19orf63 	0.39741669	6.60E-03
 C14orf142 	0.77247809	6.60E-03
 DMTF1 	0.53539718	6.60E-03
 UTP23 	0.48597218	6.61E-03
 GNPAT 	0.51432713	6.63E-03
 RNF168 	0.48673513	6.63E-03
 ZNF75D 	0.46257936	6.64E-03
 MAVS 	0.3887822	6.65E-03
 DPYSL2 	0.51931331	6.66E-03
 MED6 	0.48469027	6.66E-03
 BACH1 	0.50335767	6.66E-03
 CDK13 	0.39006562	6.66E-03
 MTIF3 	0.44940407	6.66E-03
 AFF3 	-0.49168971	6.67E-03
 MRPS18B 	0.4589462	6.68E-03
 EPS8L3 	0.5401098	6.70E-03
 UBR4 	0.45472076	6.70E-03
 RUSC1 	0.3812742	6.71E-03
 MED30 	0.59559709	6.71E-03
 CEBPA 	0.41255336	6.72E-03
 SLC39A4 	0.41127336	6.73E-03
 SPINK4 	1.47912558	6.74E-03
 HIST1H2AJ 	0.59525744	6.74E-03
 PLSCR3 	0.39512769	6.75E-03
 STX10 	0.39413173	6.76E-03
 KLK7 	0.59690487	6.76E-03
 EIF5 	0.55444742	6.77E-03
 MGEA5 	0.47713233	6.78E-03
 GBE1 	0.52353444	6.78E-03
 OAZ2 	0.43297882	6.78E-03
 USP24 	0.49921902	6.80E-03
 SGTA 	0.37638411	6.80E-03
 LRRC8A 	0.40678018	6.81E-03
 RPL14 	0.62690433	6.81E-03
 PWP2 	0.42339036	6.81E-03
 KLHL2 	0.4501876	6.82E-03
 PTCHD1 	-0.57546847	6.85E-03
 GNG12 	0.5606616	6.86E-03
 ABCF3 	0.40758727	6.86E-03
 SIRPB1 	0.51191631	6.88E-03
 IFNG 	0.58440333	6.90E-03
 SPINT2 	0.58142731	6.90E-03
 CLOCK 	0.56981876	6.92E-03
 HEATR5A 	0.70265843	6.95E-03
 C11orf10 	0.58983351	6.96E-03
 DHX36 	0.55167004	6.98E-03
 CD200 	0.5789772	6.99E-03
 ZBTB11 	0.44262591	7.01E-03
 EFTUD1 	0.51481538	7.02E-03
 COPS4 	0.55170249	7.02E-03
 MRPS25 	0.41097422	7.02E-03
 NDUFS6 	0.42051193	7.04E-03
 C1QTNF6 	0.47475307	7.04E-03
 HOXA10 	0.41815016	7.05E-03
 USP47 	0.51453009	7.05E-03
 PLEKHG6 	0.4327844	7.06E-03
 C10orf76 	0.46793051	7.07E-03
 ANPEP 	1.07656158	7.08E-03
 ZNF566 	0.52428853	7.08E-03
 CDC34 	0.42629638	7.09E-03
 RALGPS2 	0.52147942	7.10E-03
 PLEKHG2 	0.39211022	7.10E-03
 HOXC11 	0.5337778	7.13E-03
 MAN2A1 	0.4973196	7.14E-03
 EIF1AD 	0.41407413	7.14E-03
 SERPINB2 	0.71842289	7.15E-03
 VIP 	-0.62830389	7.15E-03
 MTMR14 	0.42373516	7.16E-03
 NAPA 	0.43812564	7.16E-03
 FAM100B 	0.42063111	7.17E-03
 LDOC1L 	0.44874711	7.19E-03
 RGS1 	0.86832396	7.19E-03
 KIN 	0.55768111	7.19E-03
 RP9P 	0.55372156	7.20E-03
 PDGFB 	0.41976947	7.20E-03
 GTF2H4 	0.43185987	7.21E-03
 PPP2R2D 	0.44184489	7.21E-03
 ZNF7 	0.38257607	7.22E-03
 CYP2J2 	0.52386862	7.23E-03
 NAMPT 	0.51731942	7.23E-03
 AMPD2 	0.3360772	7.23E-03
 CHSY3 	0.50119353	7.24E-03
 TMEM90B 	0.5196448	7.24E-03
 OSBPL2 	0.46182336	7.25E-03
 DPF2 	0.43936476	7.28E-03
 SUSD1 	0.42862364	7.31E-03
 C7orf26 	0.36243889	7.32E-03
 DUOXA2 	-0.81009124	7.32E-03
 IDH1 	0.47299409	7.33E-03
 VWF 	0.53900858	7.34E-03
 CBR3 	0.58247696	7.35E-03
 PQLC3 	0.41672462	7.36E-03
 ACAT2 	0.42640693	7.37E-03
 WIPI1 	0.44226393	7.38E-03
 PDXK 	0.4119102	7.38E-03
 SETDB2 	0.54763758	7.38E-03
 EFNA3 	0.45107951	7.38E-03
 LPHN3 	-0.59543413	7.39E-03
 SNX5 	0.3999132	7.42E-03
 TRPV2 	0.39336669	7.42E-03
 RBM39 	0.49000916	7.43E-03
 ALG14 	0.45036011	7.44E-03
 TFPT 	0.3743204	7.44E-03
 MITD1 	0.5391646	7.45E-03
 C17orf62 	0.39086038	7.46E-03
 CYTH4 	0.44059773	7.46E-03
 ADH1B 	-1.04406104	7.46E-03
 C3orf26 	0.44855538	7.47E-03
 SNX7 	0.55434707	7.47E-03
 B3GNTL1 	0.36487578	7.47E-03
 SLC40A1 	0.6428482	7.47E-03
 EXTL3 	0.40205733	7.47E-03
 GTPBP8 	0.43255962	7.49E-03
 OR7G1 	-0.49185324	7.49E-03
 MS4A6A 	0.63997429	7.49E-03
 POP5 	0.51174378	7.49E-03
 SLTM 	0.52138144	7.51E-03
 CDR2L 	0.41929264	7.51E-03
 MRC2 	0.484035	7.51E-03
 KBTBD6 	0.46451933	7.52E-03
 AHSA2 	0.54912273	7.53E-03
 RARRES3 	0.55261853	7.53E-03
 AARS2 	0.37699571	7.54E-03
 HMGA2 	0.47163284	7.54E-03
 RSBN1L 	0.42787	7.54E-03
 TOMM70A 	0.47141427	7.55E-03
 DLG5 	0.44483953	7.56E-03
 IP6K2 	0.40307156	7.57E-03
 MYCBP2 	0.49400262	7.58E-03
 HIST3H2BB 	0.42896844	7.59E-03
 POLR3D 	0.40670182	7.59E-03
 CEACAM5 	1.31089727	7.59E-03
 DHODH 	0.43187813	7.60E-03
 TYW3 	0.48872184	7.61E-03
 UBAC1 	0.38680202	7.61E-03
 POLE3 	0.42076082	7.61E-03
 UVRAG 	0.50495436	7.64E-03
 C10orf125 	0.4509788	7.64E-03
 MPP1 	0.5985502	7.65E-03
 PSMD6 	0.4933688	7.66E-03
 KIF3A 	0.56323467	7.68E-03
 COMMD4 	0.32234411	7.69E-03
 SHISA2 	0.46516529	7.69E-03
 FGD4 	-0.59399949	7.69E-03
 S100PBP 	0.50579022	7.71E-03
 S1PR2 	0.48934887	7.76E-03
 ZNF408 	0.44554744	7.77E-03
 UBE3B 	0.45463642	7.79E-03
 MRPL44 	0.45041862	7.80E-03
 DNAJA3 	0.42447456	7.81E-03
 ZNF281 	0.43827256	7.81E-03
 H2AFV 	0.41638293	7.83E-03
 PARL 	0.49393204	7.83E-03
 ATM 	0.52759387	7.83E-03
 C1orf55 	0.47041087	7.85E-03
 ZNF302 	0.49573607	7.87E-03
 GZF1 	0.48265298	7.87E-03
 PMS1 	0.4958682	7.93E-03
 FXR1 	0.44284611	7.94E-03
 POLR1E 	0.48581413	7.96E-03
 PIP4K2A 	0.50078133	7.96E-03
 CORO2A 	0.55182333	7.96E-03
 RPS20 	0.47112144	7.96E-03
 NHLRC2 	0.52110804	7.97E-03
 HARBI1 	0.51862542	7.98E-03
 FTSJD2 	0.45175533	7.98E-03
 KIAA0907 	0.54995969	8.02E-03
 KDM4A 	0.40963598	8.03E-03
 SEC22B 	0.53367284	8.03E-03
 MRPS14 	0.51766553	8.04E-03
 PCM1 	0.52697824	8.06E-03
 ZNF670 	0.55504544	8.06E-03
 TBC1D10B 	0.39729902	8.06E-03
 MFSD2A 	0.47034482	8.08E-03
 CHMP1A 	0.395861	8.08E-03
 NAF1 	0.48251216	8.10E-03
 SPG11 	0.52325371	8.13E-03
 TTR 	-1.05414038	8.13E-03
 FOXO3 	-0.38171342	8.14E-03
 RARG 	0.43380551	8.15E-03
 FGFR2 	0.64967262	8.15E-03
 SSH2 	0.54848998	8.16E-03
 TMEM14B 	0.53560758	8.17E-03
 EFHC1 	0.49972727	8.18E-03
 LRRC57 	0.42690424	8.18E-03
 MARCH9 	0.41599662	8.19E-03
 BMP7 	0.50677409	8.20E-03
 STRN4 	0.38205582	8.21E-03
 LANCL3 	-0.50387591	8.21E-03
 DNAH6 	0.43702249	8.22E-03
 TCN2 	0.46939638	8.22E-03
 TSR2 	0.47737642	8.23E-03
 TNPO1 	0.43902287	8.24E-03
 SEPT4 	0.42552533	8.24E-03
 ITGB2 	0.45398647	8.24E-03
 MRPS33 	0.5357586	8.25E-03
 CHMP2A 	0.50845069	8.26E-03
 UBE2D2 	0.41610627	8.26E-03
 C16orf75 	0.33531058	8.27E-03
 PDSS2 	0.46311793	8.27E-03
 EFNB2 	0.49971669	8.28E-03
 TAF1 	0.44390867	8.29E-03
 GPX4 	0.49936638	8.31E-03
 TCP11L1 	0.44876644	8.34E-03
 DAP 	0.44268627	8.35E-03
 MKRN2 	0.44174529	8.36E-03
 PTMS 	0.4185718	8.37E-03
 PARP2 	0.47000453	8.37E-03
 LRRCC1 	0.59382684	8.39E-03
 GDPD5 	0.39795158	8.40E-03
 ITPR3 	0.46937104	8.42E-03
 CDKAL1 	0.47905987	8.42E-03
 CHORDC1 	0.79836093	8.42E-03
 RSRC2 	0.46559467	8.42E-03
 DDX49 	0.41084864	8.43E-03
 DBI 	0.50309464	8.45E-03
 COPS8 	0.42082624	8.46E-03
 TSTA3 	0.6356446	8.48E-03
 FRYL 	0.4998826	8.48E-03
 AGGF1 	0.39762402	8.49E-03
 DNAJC8 	0.64768618	8.50E-03
 EFEMP2 	0.53612136	8.52E-03
 STAT6 	0.4732126	8.52E-03
 TLR8 	0.48150229	8.53E-03
 IL11 	0.45418271	8.58E-03
 KLHL5 	0.65492487	8.58E-03
 TRMT2B 	0.43078693	8.59E-03
 NCRNA00258 	-0.43014724	8.60E-03
 AMMECR1L 	0.44311258	8.60E-03
 CYB5R4 	0.53068487	8.62E-03
 CHERP 	0.36505856	8.63E-03
 C1QA 	0.5657382	8.63E-03
 XK 	-0.6099304	8.63E-03
 CREBZF 	0.43183536	8.63E-03
 SELP 	0.60809287	8.63E-03
 PHKG2 	0.39563829	8.64E-03
 MYO9B 	0.40318533	8.64E-03
 C1orf9 	0.46700738	8.65E-03
 DPEP1 	0.56923102	8.66E-03
 ZNF611 	0.59011762	8.66E-03
 NEDD8 	0.63299269	8.68E-03
 NRSN2 	0.43895427	8.68E-03
 NCOA7 	0.50748611	8.69E-03
 TMEM45B 	0.7727542	8.72E-03
 AMMECR1 	0.37656384	8.76E-03
 ACYP1 	0.47570738	8.77E-03
 MLXIP 	0.41998096	8.77E-03
 HNMT 	0.46810851	8.77E-03
 ZC3H15 	0.56286707	8.77E-03
 WDR4 	0.41399651	8.77E-03
 MED15 	0.38557231	8.78E-03
 SLC38A1 	0.61586471	8.78E-03
 NFE2L1 	0.46302873	8.78E-03
 TAF10 	0.38444011	8.79E-03
 SNX1 	0.48599042	8.83E-03
 C4B 	0.67596038	8.83E-03
 GCLM 	0.62528111	8.83E-03
 AP3D1 	0.39664393	8.83E-03
 TCN1 	-1.23850211	8.87E-03
 PCTP 	0.3930224	8.87E-03
 INTS3 	0.41969684	8.88E-03
 ASXL2 	0.41842556	8.91E-03
 KBTBD4 	0.43104771	8.91E-03
 ZNF137P 	0.44503119	8.92E-03
 LDLRAD3 	0.44959691	8.93E-03
 IFT81 	0.55939651	8.94E-03
 TBC1D5 	0.5121006	8.95E-03
 HOOK3 	0.5606768	8.96E-03
 SNX4 	0.483947	8.97E-03
 FKBP4 	0.4890322	8.97E-03
 EXOC4 	0.48760636	8.98E-03
 ATP7B 	0.51477533	8.99E-03
 AOAH 	0.56738958	9.02E-03
 GTDC1 	0.50205504	9.02E-03
 EHMT2 	0.3730676	9.02E-03
 FAM136A 	0.49559367	9.02E-03
 GOLGA7 	0.45036284	9.03E-03
 C20orf177 	0.46349467	9.03E-03
 NUDT1 	0.34741833	9.03E-03
 ABCC2 	0.66057324	9.09E-03
 SMURF1 	0.404332	9.09E-03
 PRMT7 	0.41485344	9.13E-03
 SDCCAG8 	0.46343049	9.13E-03
 C9orf114 	0.35195924	9.15E-03
 ATP6V0B 	0.56480167	9.15E-03
 ALKBH8 	0.48301142	9.16E-03
 SIPA1L1 	0.43529169	9.19E-03
 CMTM3 	0.43888747	9.20E-03
 EP400 	0.39255822	9.20E-03
 SFSWAP 	0.38110162	9.20E-03
 PRR16 	0.57901531	9.20E-03
 SETD5 	0.40373678	9.20E-03
